,SKU,Category,Price,Brand,Model,linkofproduct
25,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart Android LED TV 43X7400H (Black) (2020 Model),Smart Televisions,"₹ 49,990.00",,,https://www.amazon.in/Sony-Bravia-inches-Android-43X7400H/dp/B08BJR9J8C/ref=sr_1_26?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-26
26,Sanyo 108 cm (43 inches) Kaizen Series Full HD Certified Android LED TV XT-43FHD4S (Black) (2020 Model),Smart Televisions,"₹ 21,999.00",,,https://www.amazon.in/Sanyo-inches-Certified-Android-XT-43FHD4S/dp/B08DY7GNJ8/ref=sr_1_27?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-27
27,TCL 108 cm (43 inches)  AI 4K UHD Certified Android Smart LED TV 43P8 (Black) (2019 Model),Smart Televisions,"₹ 25,999.00",,,https://www.amazon.in/TCL-inches-Certified-Android-43P8/dp/B07TJK5RDB/ref=sr_1_28?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-28
28,CloudWalker 165 cm (65 Inches) 4K Ultra HD Smart LED Screen 65SUA7 (Black) with Keyboard & Mouse,Smart Televisions,"₹ 47,490.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A05047861QNLBEO0J5G8I&url=%2FCloudWalker-Inches-Ultra-Screen-65SUA7%2Fdp%2FB08135V1SS%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1596287247%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-29-spons%26psc%3D1&qualifier=1604444512&id=3015057850281732&widgetName=sp_btf_browse
29,TCL 138.78 cm (55 inches)  AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model),Smart Televisions,"₹ 34,999.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A005130611EOM9G22AGU7&url=%2FTCL-138-78-Certified-Android-55P8%2Fdp%2FB07TMRFDP8%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444512%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-25-spons%26psc%3D1&qualifier=1604444522&id=2224435104863147&widgetName=sp_atf_browse
30,OnePlus Y Series 80 cm (32 inches) HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),Smart Televisions,"₹ 13,990.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A08805473Q8ZCGCAGSKOP&url=%2FOnePlus-inches-Ready-Android-32Y1%2Fdp%2FB08B42LWKN%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444512%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-26-spons%26psc%3D1&qualifier=1604444522&id=2224435104863147&widgetName=sp_atf_browse
31,TCL 139 cm (55 inches)  AI 4K Ultra HD Certified Android Smart LED TV 55P715 (Sliver) (2020 Model),Smart Televisions,"₹ 44,499.00",,,https://www.amazon.in/TCL-inches-Certified-Android-55P715/dp/B08BS8S7Y5/ref=sr_1_27?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-27
32,TCL 125.7 cm (50 inches) 4K Ultra HD Certified Android Smart QLED TV 50C715 (Metallic Black) (2020 Model) | with Voice Control,Smart Televisions,"₹ 45,199.00",,,https://www.amazon.in/TCL-Certified-Android-50C715-Metallic/dp/B08B26S82B/ref=sr_1_28?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-28
33,Sanyo 139 cm (55 inches) Kaizen Series 4K Ultra HD Certified Android LED TV XT-55UHD4S (Black) (2020 Model),Smart Televisions,"₹ 37,999.00",,,https://www.amazon.in/Sanyo-inches-Certified-Android-XT-55UHD4S/dp/B08DY7FN8P/ref=sr_1_29?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-29
34,TOSHIBA 80 cm (32 inches) Vidaa OS Series HD Ready Smart ADS LED TV 32L5050 (Black) (2020 Model),Smart Televisions,"₹ 12,989.00",,,https://www.amazon.in/TOSHIBA-inches-Vidaa-Ready-32L5050/dp/B08BXYJWQF/ref=sr_1_30?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-30
