,make,model
379,BMW,GLE 450
380,BMW,GLE 500
381,BMW,GLE 53 AMG
382,BMW,GLE 580
383,BMW,GLE 63 AMG
384,BMW,GLK (tous)
385,BMW,GLK 200
386,BMW,GLK 220
387,BMW,GLK 250
388,BMW,GLK 280
389,BMW,GLK 300
390,BMW,GLK 320
391,BMW,GLK 350
392,BMW,GLS (tous)
393,BMW,GLS 350
394,BMW,GLS 400
395,BMW,GLS 450
396,BMW,GLS 500
397,BMW,GLS 580
398,BMW,GLS 600
399,BMW,GLS 63 AMG
400,BMW,Marco Polo
401,BMW,MB 100
402,BMW,SL (tous)
403,BMW,SL 230
404,BMW,SL 250
405,BMW,SL 280
406,BMW,SL 300
407,BMW,SL 320
408,BMW,SL 350
409,BMW,SL 380
410,BMW,SL 400
411,BMW,SL 420
412,BMW,SL 450
413,BMW,SL 500
414,BMW,SL 55 AMG
415,BMW,SL 560
416,BMW,SL 60 AMG
417,BMW,SL 600
418,BMW,SL 63 AMG
419,BMW,SL 65 AMG
420,BMW,SL 70 AMG
421,BMW,SL 73 AMG
422,BMW,SLC (tous)
423,BMW,SLC 180
424,BMW,SLC 200
425,BMW,SLC 250
426,BMW,SLC 280
427,BMW,SLC 300
428,BMW,SLC 350
429,BMW,SLC 380
430,BMW,SLC 43 AMG
431,BMW,SLC 450
432,BMW,SLC 500
433,BMW,SLK (tous)
434,BMW,SLK
435,BMW,SLK 200
436,BMW,SLK 230
437,BMW,SLK 250
438,BMW,SLK 280
439,BMW,SLK 300
440,BMW,SLK 32 AMG
441,BMW,SLK 320
442,BMW,SLK 350
443,BMW,SLK 55 AMG
444,BMW,SLR
445,BMW,SLS
446,BMW,Sprinter
447,BMW,T1
448,BMW,T2
449,BMW,Vaneo
450,BMW,Vario
451,BMW,Viano
452,BMW,Vito
453,BMW,Autres
454,Audi,100
455,Audi,200
456,Audi,50
457,Audi,80
458,Audi,90
459,Audi,A1
460,Audi,A2
461,Audi,A3
462,Audi,A4
463,Audi,A4 allroad
464,Audi,A5
465,Audi,A6
466,Audi,A6 allroad
467,Audi,A7
468,Audi,A8
469,Audi,Allroad
470,Audi,Cabriolet
471,Audi,Coupe
472,Audi,e-tron
473,Audi,Q1
474,Audi,Q2
475,Audi,Q3
476,Audi,Q5
477,Audi,Q7
478,Audi,Q8
479,Audi,QUATTRO
480,Audi,R8
